title,imdb_rating
My Next Guest with David Letterman and Shah Rukh Khan,9.2
No Longer kids,9.0
C/o Kancharapalem,9.0
David Attenborough: A Life on Our Planet,9.0
Natsamrat,9.0
Bye Bye London,9.0
The Dark Knight,9.0
Rubaru Roshni,8.9
Inception,8.8
A Lion in the House,8.7
Bill Hicks: Relentless,8.6
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",8.6
Bill Hicks: Revelations,8.6
K. D.,8.6
Ani... Dr. Kashinath Ghanekar,8.6
Merku Thodarchi Malai,8.6
Madness in the Desert,8.6
Emicida: AmarElo - It's All for Yesterday,8.6
Ben Platt: Live from Radio City Music Hall,8.5
Hikaru Utada Laughter in the Dark Tour 2018,8.5
Roll with Me,8.5
Louis C.K.: Hilarious,8.5
Visaranai,8.5
Mallesham,8.5
True: Happy Hearts Day,8.5
The Intouchables,8.5
No Direction Home: Bob Dylan,8.5
True: Wuzzle Wegg Day,8.5
Oththa Seruppu Size 7,8.5
Bo Burnham: What.,8.5
The Departed,8.5
Black Friday,8.5
Springsteen On Broadway,8.5
Untamed Romania,8.5
Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,8.5
Dave Chappelle: Sticks & Stones,8.5
Rush: Beyond The Lighted Stage,8.4
Bill Burr: I'm Sorry You Feel That Way,8.4
Harishchandrachi Factory,8.4
Bo Burnham: Make Happy,8.4
Winter on Fire: Ukraine's Fight for Freedom,8.4
Dangal,8.4
Django Unchained,8.4
Our Planet: Behind The Scenes,8.4
Taylor Swift: Reputation Stadium Tour,8.4
Qismat,8.4
Bill Hicks: Sane Man,8.4
Andhadhun,8.3
13th,8.3
Cuba and the Cameraman,8.3
Shawn Mendes: Wonder,8.3
The Three Deaths of Marisela Escobedo,8.3
Super Deluxe,8.3
A Truthful Mother,8.3
Kiss the Ground,8.3
A Clockwork Orange,8.3
Bill Burr: You People Are All The Same,8.3
My Octopus Teacher,8.3
Cowspiracy: The Sustainability Secret,8.3
Dancing with the Birds,8.3
Hasan Minhaj: Homecoming King,8.3
Luciano Mellera: Puerile,8.3
Hannah Gadsby: Nanette,8.3
The Witness Who Didn't See Anything,8.3
Whispers,8.3
Love Ni Bhavai,8.3
John Mulaney: New in Town,8.3
Rang De Basanti,8.2
Monty Python and the Holy Grail,8.2
Miracle in Cell No. 7,8.2
Dave Chappelle: Equanimity,8.2
Richard Pryor: Live in Concert,8.2
Bāhubali 2: The Conclusion,8.2
Shutter Island,8.2
There Will Be Blood,8.2
Cycle,8.2
Bhai - Vyakti ki Valli,8.2
Virunga,8.2
Pan's Labyrinth,8.2
Batman Begins,8.2
Eddie Murphy: Delirious,8.2
Sudani from Nigeria,8.2
Paan Singh Tomar,8.2
Zindagi Na Milegi Dobara,8.2
Care Of Kaadhal,8.2
Swades,8.2
The Land,8.2
Talvar,8.2
Andaz Apna Apna,8.2
The Blue Elephant Part 2,8.2
Article 15,8.2
Klaus,8.2
Old Thieves: The Legend of Artegio,8.2
Queen,8.2
Disclosure,8.2
Drishyam,8.2
Bill Burr: Paper Tiger,8.2
Hombanna,8.2
Udaan,8.2
Bill Hicks: One Night Stand,8.2
Taxi Driver,8.2
Barfi!,8.1
Hole in the Wall,8.1
My Little Pony: Best Gift Ever,8.1
A Billion Colour Story,8.1
Spotlight,8.1
The Legend of Bhagat Singh,8.1
The Dawn Wall,8.1
The Gospel of Matthew,8.1
Cool Hand Luke,8.1
Monty Python: Parrot Sketch Not Included,8.1
The Invisible Guest,8.1
Shonar Pahar,8.1
PK,8.1
Dil Chahta Hai,8.1
Jim Jefferies: Bare,8.1
"River, el Más Grande Siempre",8.1
Neon Genesis Evangelion: The End of Evangelion,8.1
Blackfish,8.1
OMG: Oh My God!,8.1
Into the Wild,8.1
Tim Minchin: So F**king Rock Live,8.1
Kahaani,8.1
Gardeners of Eden,8.1
Haider,8.1
Sebastian Maniscalco: What's Wrong with People?,8.1
Pink,8.1
The Square,8.1
Rising Phoenix,8.1
Life of Brian,8.1
El testigo: Caín y Abel,8.1
Platoon,8.1
A Silent Voice,8.1
Chasing Coral,8.1
Sillu Karupatti,8.1
Dev.D,8.0
Uyare,8.0
The Gospel of Mark,8.0
John Mulaney: Kid Gorgeous at Radio City,8.0
Struggle: The Life and Lost Art of Szukalski,8.0
Jeff Dunham: Arguing with Myself,8.0
Beyond All Boundaries,8.0
Angamaly Diaries,8.0
Ricky Gervais: Humanity,8.0
The Help,8.0
Armed to the Teeth,8.0
Ip Man,8.0
Underdogs,8.0
Uppity: The Willy T. Ribbs Story,8.0
Mike Birbiglia: My Girlfriend's Boyfriend,8.0
Manusangada,8.0
The Perks of Being a Wallflower,8.0
I Am Kalam,8.0
LeapFrog: The Letter Factory,8.0
Fiddler on the Roof,8.0
Black Hole Apocalypse,8.0
Muramba,8.0
Ankhon Dekhi,8.0
Dances with Wolves,8.0
John Mulaney: The Comeback Kid,8.0
Rabun,8.0
Special 26,8.0
Bāhubali: The Beginning,8.0
Jim Gaffigan: Beyond the Pale,8.0
Rain Man,8.0
Cristina,8.0
Manu,8.0
Attacking the Devil: Harold Evans and the Last Nazi War Crime,8.0
"Take the Ball, Pass the Ball",8.0
Sorry For Disturbing,8.0
Casino Royale,8.0
A Plastic Ocean,8.0
The Battered Bastards of Baseball,8.0
Kal Ho Naa Ho,8.0
The Trailer Park Boys Xmas Special,8.0
The Pursuit of Happyness,8.0
A Very Special Drew,8.0
The Silence of Others,8.0
Birth Reborn,8.0
The Married Couples,8.0
Icarus,7.9
Trailer Park Boys: Say Goodnight to the Bad Guys,7.9
Night on Earth: Shot in the Dark,7.9
Bittersweet,7.9
The Book of Sun,7.9
Ee Nagaraniki Emaindi,7.9
The Irishman,7.9
I Am Not Your Negro,7.9
Hunt for the Wilderpeople,7.9
Hazaaron Khwaishein Aisi,7.9
The Artist,7.9
The Game Changers,7.9
Mission Blue,7.9
Jab We Met,7.9
The Ivory Game,7.9
The Death of Mr. Lazarescu,7.9
Nightcrawler,7.9
Uma Maheswara Ugra Roopasya,7.9
Lakshya,7.9
If Anything Happens I Love You,7.9
Killa,7.9
Berserk: The Golden Age Arc III - The Advent,7.9
Louis C.K.: Live at The Comedy Store,7.9
SunGanges,7.9
Neal Brennan: 3 Mics,7.9
Jerry Seinfeld: I'm Telling You for the Last Time,7.9
A Secret Love,7.9
Monty Python Live at the Hollywood Bowl,7.9
Monty Python: Live at Aspen,7.9
Hannah Gadsby: Douglas,7.9
Marriage Story,7.9
Captain Fantastic,7.9
Salam - The First ****** Nobel Laureate,7.9
Ari Eldjárn: Pardon My Icelandic,7.9
Pad Man,7.9
Unchained: The Untold Story of Freestyle Motocross,7.9
Crip Camp: A Disability Revolution,7.8
Cemara's Family,7.8
How to Train Your Dragon 2,7.8
Tom Segura: Completely Normal,7.8
